or,opt_time,pes_time,opt_minutes,pes_minutes,neighborhood,title,rent,bedrooms,pid,date,link,sqft,sourcepage,longitude,latitude,rent_sqft,region,index
37.3855+-122.088,2934.0,4877.0,48.9,81.28333333333333,mountain view,Charming Mtn View Location*A must see*pets welcome!!,2696.0,2.0,4512040042.0,2014-06-23,http://sfbay.craigslist.org/pen/apa/4512040042.html,1100.0,http://sfbay.craigslist.org/apa/index2100.html,-122.088,37.3855,2.4509090909090907,sfbay,40
37.3855+-122.088,2934.0,4877.0,48.9,81.28333333333333,mountain view,"Move in on June, close to google, facebook, shopping, dining...",1995.0,1.0,4446138393.0,2014-05-13,http://sfbay.craigslist.org/pen/apa/4446138393.html,776.0,http://sfbay.craigslist.org/apa/index1900.html,-122.088,37.3855,2.570876288659794,sfbay,431
37.761903+-121.950365,2471.0,3808.0,41.18333333333333,63.46666666666667,danville / san ramon,Condo for rent in San Ramon,2150.0,2.0,4472979360.0,2014-05-16,http://sfbay.craigslist.org/eby/apa/4472979360.html,943.0,http://sfbay.craigslist.org/apa/index3800.html,-121.950365,37.761903,2.2799575821845175,sfbay,41
37.787488+-122.425182,631.0,1498.0,10.516666666666667,24.966666666666665,lower pac hts,"Nice, Remodeled 1 Bedroom Apartment!",2450.0,1.0,4518049712.0,2014-06-23,http://sfbay.craigslist.org/sfc/apa/4518049712.html,NA,http://sfbay.craigslist.org/apa/index2100.html,-122.425182,37.787488,NA,sfbay,42
37.769086+-122.425804,969.0,2100.0,16.15,35.0,Quad / Dolores Market,2BR/1Bth - Utilities Included - Avail Aug 1 - Clean Quiet Spacious,4200.0,2.0,4561205546.0,2014-07-09,http://sfbay.craigslist.org/sfc/apa/4561205546.html,1e3,http://sfbay.craigslist.org/apa/index800.html,-122.425804,37.769086,4.2,sfbay,43
37.93613+-121.702957,3400.0,4998.0,56.666666666666664,83.3,brentwood / oakley,CALL NOW & GET $500 OFF YOUR 1st MONTHS RENT!!!,1575.0,2.0,4553865616.0,2014-07-05,http://sfbay.craigslist.org/eby/apa/4553865616.html,950.0,http://sfbay.craigslist.org/apa/index1900.html,-121.702957,37.93613,1.6578947368421053,sfbay,44
37.93613+-121.702957,3400.0,4998.0,56.666666666666664,83.3,brentwood / oakley,Convenient Location! Newly Renovated Floorplans!,1750.0,3.0,4478630664.0,2014-05-19,http://sfbay.craigslist.org/eby/apa/4478630664.html,1110.0,http://sfbay.craigslist.org/apa/index600.html,-121.702957,37.93613,1.5765765765765767,sfbay,140
37.545666+-122.292337,2096.0,3395.0,34.93333333333333,56.583333333333336,san mateo,Private Kitchen Island!,4428.0,2.0,4529133015.0,2014-06-19,http://sfbay.craigslist.org/pen/apa/4529133015.html,1177.0,http://sfbay.craigslist.org/apa/index700.html,-122.29233700000002,37.545666,3.762107051826678,sfbay,45
37.3924+-121.9623,3169.0,5039.0,52.81666666666667,83.98333333333333,santa clara,Beautiful Single Family home in Rivermark for Rent,3700.0,3.0,4515760515.0,2014-06-11,http://sfbay.craigslist.org/sby/apa/4515760515.html,1600.0,http://sfbay.craigslist.org/apa/index1900.html,-121.9623,37.3924,2.3125,sfbay,46
37.3924+-121.9623,3169.0,5039.0,52.81666666666667,83.98333333333333,santa clara,Beautiful Single Family home in Rivermark for Rent,3700.0,3.0,4501605465.0,2014-06-07,http://sfbay.craigslist.org/sby/apa/4501605465.html,1600.0,http://sfbay.craigslist.org/apa/index2600.html,-121.9623,37.3924,2.3125,sfbay,559
